,Company name,Inactive,Quoted,Branch,OwnData,Woco,R/O Full Postcode,Registered number,Primary UK SIC (2007) code,Latest accounts date,Company status,Credit score date,Credit score indicator,"Likelihood of failure (%)
%","Credit limit (GBP)
GBP",Previous credit score date,Previous credit score indicator,Ultimate owner,"Total Assets
m EUR",Return on Shareholders Funds (%),"Operating revenue (Turnover)
m EUR",Return on Capital Employed (%),Return on Total Assets (%),Profit margin (%),Gross margin (%),Berry ratio,EBIT margin (%),EBITDA margin (%),Net Assets Turnover (x),Fixed Assets Turnover (x),Interest Cover (x),Stock Turnover (x),Debtors Turnover (x),Debtor Collection (days),Creditors Payment (days),Current ratio (x),Liquidity ratio (x),Shareholders liquidity ratio (x),Solvency ratio (Asset based) (%),Solvency ratio (Liability based) (%),Gearing (%),"Profit per employee (unit)
EUR","Shareholders Funds per employee
EUR","Cash In(Out)flow Operat. Activ.
m EUR","Cash In(Out)flow Ret. On Invest.
m EUR","Capital Expenditure & Financ. Invest.
m EUR","Cash Out(In)flow from Financing
m EUR","Increase (Decrease) Cash & Equiv.
m EUR",Year,Final credit score,Credit Group
1251,MORE 2 LIFE LTD,No,No,No,No,No,PR2 9ZH,5390268,64922,31/12/2020,Active,2021,Secure,2.2,"3,239,000",2019,Secure,PARTNERS GROUP HOLDING AG,46,63.32,49,62.83,52.73,49.8,71.88,3,49.8,50.67,1.26,29.51,1.0,3.58,84.08,4.34,1.32,5.99,5.99,127.83,83.26,1.0,12.35,"305,286",0,0.0,0.0,0.0,0.0,0.0,2018,81.0,3
1252,PEACOCK & BINNINGTON HOLDINGS LIMITED,No,No,No,No,No,DN20 8NR,2519198,46140,31/12/2020,Active,2021,Secure,0.9,"426,006",2019,Secure,PEACOCK & BINNINGTON HOLDINGS LIMITED,29,14.15,59,10.42,3.51,1.7,11.32,1,2.1,2.91,6.11,16.42,5.35,2.75,20.81,17.54,102.17,1.32,0.19,2.79,24.83,33.03,54.17,"7,444","52,623",-2.0,0.0,-2.0,3.0,-1.0,2018,95.0,3
1253,LODGE HOLDINGS (UK) LIMITED,No,No,No,No,No,ST18 0GE,3691747,70100,31/03/2021,Active,2021,Secure,0.9,"1,093,000",2020,Secure,LODGE HOLDINGS (UK) LIMITED,26,22.93,55,15.17,6.7,3.23,17.68,1,3.39,6.48,4.7,7.5,20.76,8.72,4.86,75.06,67.36,1.3,0.87,1.96,29.22,41.29,70.58,"4,546","19,831",4.0,0.0,-3.0,-1.0,0.0,2018,95.0,3
1254,BALLYMORE DEVELOPMENT MANAGEMENT LIMITED,No,No,No,No,No,E14 9SJ,8874050,70229,31/03/2021,Active,2021,Secure,0.9,"2,977,000",2020,Secure,WHISTLEGLADE INVESTMENTS LIMITED,88,162.73,68,31.08,18.27,23.8,46.54,2,23.68,24.94,1.31,88.17,1.0,3.58,65.73,5.55,1.57,2.41,2.41,0.24,11.23,12.65,424.54,"38,038","23,375",34.0,0.0,-1.0,-18.0,15.0,2018,93.0,3
1255,TRUE POTENTIAL WEALTH MANAGEMENT LLP,No,No,No,No,No,NE15 8NX,OC356611,66190,31/12/2020,Active,2021,Secure,0.9,"11,136,000",2019,Secure,TRUE POTENTIAL GROUP OF COMPANIES,20,14.0,55,14.0,9.75,3.62,10.51,2,3.66,4.12,3.87,8.34,87.2,3.58,4.27,1.13,4.77,2.23,2.23,0.0,69.63,1.0,0.0,"82,478",0,0.0,0.0,0.0,0.0,0.0,2018,88.0,3
1256,R & R RESIDENTIAL MANAGEMENT LIMITED,No,No,No,No,No,SW8 2LE,6549794,68320,30/06/2020,Active,2021,Secure,0.9,"325,664",2019,Secure,R & R RESIDENTIAL MANAGEMENT LIMITED,15,58.42,24,25.03,11.79,7.14,95.66,1,7.65,9.53,3.5,4.64,12.67,3.58,10.21,35.77,9.43,1.22,1.22,0.75,20.18,25.28,134.87,"4,730","8,097",3.0,0.0,-6.0,5.0,1.0,2018,89.0,3
1257,CRA INTERNATIONAL (UK) LIMITED,No,No,No,No,No,EC2M 7EA,4007726,70229,02/01/2021,Active,2021,Secure,0.9,"1,908,000",2019,Caution,"CRA INTERNATIONAL, INC.",63,20.97,65,20.39,9.37,9.06,24.75,2,9.06,10.39,2.25,10.48,280.38,3.58,4.27,1.13,10.0,1.67,1.67,35.12,44.7,80.82,2.89,"38,254","182,392",0.0,0.0,0.0,0.0,0.0,2018,99.0,3
1258,GBUK GROUP LIMITED,No,No,No,No,No,YO8 5DD,9458917,70100,30/06/2020,Active,2021,Secure,0.9,"3,829,000",2019,Secure,COÖPERATIEF H2 EQUITY PARTNERS FUND IV HOLDING W.A.,45,1.0,44,0.59,0.48,0.48,37.58,1,8.75,17.39,1.22,1.57,1.06,6.75,8.47,43.11,28.22,1.92,1.18,-0.11,-10.0,1.0,0.0,"2,379",0,6.0,-1.0,0.0,-3.0,0.0,2018,92.0,3
1259,ITH GROUP LIMITED,No,No,No,No,No,EC4R 2SU,9427930,64209,30/09/2020,Active,2021,Secure,0.9,"1,665,000",2019,Caution,ITH GROUP LIMITED,15,57.58,55,53.51,29.03,7.72,30.59,1,8.06,9.26,6.93,16.04,23.9,13.21,8.68,42.04,31.92,1.67,1.05,13.15,50.42,1.0,19.32,"22,056","38,305",4.0,0.0,-1.0,0.0,3.0,2018,99.0,3
1260,MAVEN SECURITIES HOLDING LIMITED,No,No,No,No,No,EC3A 7BA,7505438,64205,30/06/2020,Active,2021,Secure,0.9,"19,638,000",2019,Stable,MAVEN SECURITIES LIMITED,41,-124.69,17,-124.69,-52.9,100.0,1.0,1,4.76,2.63,0.96,0.64,1.0,3.58,4.27,1.13,15.36,0.63,0.63,0.0,42.42,73.68,91.44,"-449,329",0,6.0,0.0,0.0,-22.0,0.0,2018,88.0,3
1261,DRW UK PARTNERS LLP,No,No,No,No,No,EC3V 4AB,OC359474,66190,31/12/2020,Active,2021,Secure,0.9,"4,852,000",2019,Secure,IWG PLC,28,487.96,42,131.91,51.6,34.17,99.15,2,35.88,38.48,3.86,9.88,1.0,3.58,4.27,1.13,6.2,1.39,1.39,0.37,10.57,11.82,658.35,"295,417","60,541",15.0,0.0,-1.0,-10.0,4.0,2018,90.0,3
1262,KENSINGTON MORTGAGE COMPANY LIMITED,No,No,No,No,No,SL6 3QQ,3049877,64922,31/03/2021,Active,2021,Normal,4.2,"2,363,000",2020,Normal,KOALA (CAYMAN) LIMITED,45,-20.73,41,-20.73,-1.85,-2.02,1.0,1,-2.02,2.63,10.27,1.0,1.0,3.58,4.27,1.13,1.0,1.1,1.1,0.0,8.93,9.81,768.05,0,0,0.0,0.0,0.0,0.0,0.0,2018,41.0,2
1263,STOFORD PROPERTIES LIMITED,No,No,No,No,No,B3 1DX,7848231,68320,30/06/2020,Active,2021,Secure,0.9,"776,341",2019,Secure,LUDGATE HILL PROPERTIES LIMITED,23,74.56,60,74.56,42.07,15.99,19.54,6,16.03,16.03,4.66,105.8,513.3,10.66,16.94,21.55,34.63,2.24,1.67,0.0,56.42,1.0,2.14,"688,631",0,3.0,0.0,-1.0,0.0,0.0,2018,97.0,3
1264,GREAT CHARLES STREET PROPERTIES LIMITED,No,No,No,No,No,B3 1DX,9940056,64203,30/06/2020,Active,2021,Secure,0.9,"1,700,000",2019,Secure,LUDGATE HILL PROPERTIES LIMITED,25,63.73,60,63.73,37.79,15.57,19.54,5,15.61,16.03,4.09,24.2,499.84,10.66,16.94,21.55,34.63,2.21,1.65,0.0,59.3,1.0,0.0,"670,537",0,3.0,0.0,-1.0,0.0,0.0,2018,97.0,3
1265,INCOMM EUROPE LIMITED,No,No,No,No,No,PO15 7AH,5322244,63110,28/02/2021,Active,2021,Secure,2.2,"381,338",2020,Secure,MR MERRILL BROOKS SMITH,53,1.0,49,-4.5,4.71,5.11,12.06,6,9.9,9.97,1.4,14.49,2.02,3.58,3.61,101.23,219.42,0.46,0.46,0.0,0.0,1.0,0.0,"99,119",0,4.0,0.0,0.0,6.0,10.0,2018,81.0,3
1266,SIGMA GRP LIMITED,No,No,No,No,No,WF10 4TL,6856861,70229,30/06/2021,Active,2021,Secure,0.9,"1,079,000",2020,Secure,TH GLASSHOUGHTON BIDCO LIMITED,22,59.51,29,59.51,24.94,9.55,28.36,2,9.55,9.69,6.23,71.45,1.0,12.01,5.56,65.62,15.75,1.66,1.28,0.0,41.91,72.14,0.0,"22,780","38,279",1.0,0.0,0.0,-2.0,-2.0,2018,93.0,3
1267,MEWBURN ELLIS LLP,No,No,No,No,No,EC2V 5DE,OC306749,69102,31/03/2021,Active,2021,Secure,0.9,"2,139,000",2020,Caution,MEWBURN ELLIS LLP,15,1.0,54,15.42,0.21,100.0,49.06,3,24.12,24.84,5.8,62.76,1.0,3.58,5.04,72.43,17.27,2.5,2.5,0.0,0.0,1.0,0.0,0,0,12.0,0.0,0.0,-12.0,0.0,2018,92.0,3
1268,AUTORAMA UK LTD,No,No,No,No,No,HP2 7DE,5137709,77110,31/12/2020,Active,2021,Secure,2.2,"275,950",2019,Secure,MR ANDREW STUART ALDERSON,50,3.05,83,1.24,0.34,0.2,28.67,1,0.84,1.63,6.16,9.06,1.31,3.89,14.91,24.49,66.8,1.12,0.53,0.68,11.07,12.45,197.32,740,"24,273",0.0,-1.0,-2.0,0.0,-3.0,2018,81.0,3
1269,RECYCLING LIVES LIMITED,No,No,No,No,No,PR1 1QE,3783452,38320,28/02/2021,Active,2021,Stable,2.2,"133,494",2020,Secure,THREE HILLS CAPITAL SOLUTIONS III,59,37.51,74,20.82,11.84,9.33,21.57,2,10.55,13.92,2.23,2.44,8.63,30.61,22.66,16.11,30.73,1.11,1.02,1.25,31.57,46.13,161.16,"23,945","63,833",0.0,0.0,0.0,0.0,0.0,2018,64.0,3
1270,CJL HOLDINGS (SW) LIMITED,No,No,No,No,No,BS25 5QP,9623492,64203,30/09/2020,Active,2021,Secure,0.9,"2,293,000",2019,Secure,MR CHRISTOPHER JOHN LOMAS,45,24.64,58,24.44,19.25,14.97,21.11,3,14.86,18.03,1.63,7.34,1.0,375.14,4.35,83.9,27.8,3.88,3.87,125.77,78.14,1.0,0.8,"31,300","127,031",13.0,0.0,-2.0,0.0,7.0,2018,99.0,3
1271,MERKLE UK ONE LIMITED,No,No,No,No,No,NW1 3BF,4238272,70229,31/12/2020,Active,2021,Secure,0.9,"814,639",2019,Secure,DENTSU GROUP INC.,13,9.81,29,9.81,5.43,2.42,28.32,1,2.36,5.87,4.05,22.46,1.0,3.58,6.31,57.82,6.92,2.02,2.02,0.0,55.38,1.0,11.79,"3,719","37,924",0.0,0.0,0.0,0.0,0.0,2018,95.0,3
1272,MAN FUND MANAGEMENT UK LIMITED,No,No,No,No,No,EC4R 3AD,3418585,66120,31/12/2020,Active,2021,Secure,0.9,"245,847",2019,Secure,MAN GROUP PLC,67,18.96,71,18.96,4.27,4.03,4.04,11,4.08,2.63,4.71,1.0,41.47,3.58,65.58,5.57,1.0,1.29,1.29,0.0,22.51,29.05,33.88,0,0,0.0,0.0,0.0,0.0,0.0,2018,89.0,3
1273,KIMAL HOLDINGS LIMITED,No,No,No,No,No,UB8 2SA,7912443,32500,31/03/2021,Active,2021,Secure,0.9,"1,088,000",2020,Secure,KIMAL HOLDINGS LIMITED,29,2.66,56,2.65,1.99,1.02,28.52,1,1.01,1.63,2.6,13.06,167.33,5.81,5.9,61.89,28.36,3.4,2.06,816.65,74.89,1.0,0.25,"1,814","68,269",-1.0,0.0,-2.0,1.0,-3.0,2018,95.0,3
1274,ASTON LARK LIMITED,No,No,No,No,No,EC3N 1DY,2831010,66220,31/12/2020,Active,2021,Secure,0.9,"2,613,000",2019,Secure,"GOLDMAN SACHS GROUP, INC",60,28.34,41,27.74,14.13,20.35,1.0,1,16.37,20.5,1.36,5.13,28.79,3.58,4.27,0.01,7.37,1.76,1.76,46.35,49.88,99.51,80.3,"20,112","70,976",0.0,0.0,0.0,0.0,0.0,2018,95.0,3
1275,SILKSTONE FINANCE LIMITED,No,No,No,No,No,SK9 1BQ,2739318,31020,31/12/2020,Active,2021,Secure,0.9,"2,731,000",2019,Secure,SILKSTONE FINANCE LIMITED,56,33.16,36,31.41,25.56,23.04,38.67,2,23.04,28.49,1.36,1.51,1.0,9.02,326.07,1.12,20.17,1.44,0.77,17.95,77.08,1.0,5.57,"38,884","117,256",9.0,0.0,-7.0,0.0,0.0,2018,99.0,3
1276,FRONTIER ECONOMICS LIMITED,No,No,No,No,No,WC1V 6DA,3752719,70229,30/04/2021,Active,2021,Secure,0.9,"233,932",2020,Secure,FRONTIER ECONOMICS LIMITED,26,5.0,51,4.61,1.06,0.54,1.0,1,0.6,2.43,8.55,19.51,8.36,3.58,3.89,93.94,14.26,1.17,1.17,11.8,21.19,26.89,26.64,"1,236","24,727",-2.0,0.0,-1.0,0.0,-3.0,2018,95.0,3
1277,CEDERBERG CAPITAL LIMITED,No,No,No,No,No,SW1Y 6JB,7793176,70100,31/03/2021,Active,2021,Secure,0.9,"2,782,000",2020,Secure,CEDERBERG CAPITAL (CAYMAN) LTD,11,126.93,7,126.93,100.51,100.0,100.0,6,4.76,2.63,0.81,1.0,1.0,3.58,4.27,1.13,4.71,4.8,4.8,0.0,79.18,1.0,0.0,"1,829,760",0,1.0,0.0,0.0,0.0,1.0,2018,89.0,3
1278,THE GATESHEAD HOUSING COMPANY,No,No,No,No,No,NE8 1JN,4944719,68320,31/03/2021,Active,2021,Caution,11.2,500,2020,Caution,THE BOROUGH COUNCIL OF GATESHEAD,10,1.0,65,15.42,-258.91,-41.47,1.0,1,-39.93,-39.45,67.92,54.93,-6.22,55.2,251.45,1.45,3.02,0.98,0.85,-0.98,0.0,1.0,0.0,"-34,953",0,0.0,0.0,0.0,0.0,0.0,2018,27.0,1
1279,BELMONT GREEN LIMITED,No,No,No,No,No,TW18 4TW,9828204,64205,31/12/2020,Active,2021,Stable,2.2,"2,134,000",2019,Stable,PINE BROOK PD (CAYMAN) INTERMEDIATE L.P.,1443,-17.45,47,-17.45,-1.09,-33.84,41.55,1,-31.22,-29.54,0.52,5.54,1.0,3.58,4.27,1.13,1.0,1.06,1.06,0.0,6.27,6.69,0.0,"-88,634",0,-864.0,-1.0,0.0,905.0,40.0,2018,64.0,3
1280,BELMONT GREEN FINANCE LIMITED,No,No,No,No,No,TW18 4TW,9837692,64922,31/12/2020,Active,2021,Stable,2.2,"4,777,000",2019,Normal,PINE BROOK PD (CAYMAN) INTERMEDIATE L.P.,147,-4.33,24,-4.33,-3.17,-19.71,1.0,1,-19.71,-16.41,0.22,1.29,1.0,3.58,47.54,7.68,1.0,3.26,3.26,0.0,73.17,1.0,9.25,"-26,268",0,-51.0,0.0,0.0,50.0,-3.0,2018,64.0,3
1281,NEWPORT GROUP (HOLDINGS) LIMITED,No,No,No,No,No,TW9 1BN,4827262,82990,31/12/2020,Active,2021,Secure,0.9,"381,423",2019,Secure,MR RAJESH KANTIBHAI PATEL,36,11.62,57,7.4,1.65,1.05,8.85,1,1.96,2.58,7.07,6.37,2.14,7.53,3.71,98.31,65.58,0.97,0.7,1.75,14.19,16.54,167.56,"20,523","176,601",-1.0,-1.0,-2.0,3.0,-1.0,2018,90.0,3
1282,FINTEL PLC,No,No,No,No,No,HD1 6NA,9619906,70100,31/12/2020,Active,2021,Secure,0.9,"3,363,000",2019,Secure,FINTEL PLC,51,15.94,56,15.13,9.17,8.35,1.0,1,13.33,14.34,1.81,2.16,2.63,3.58,7.87,46.37,11.11,1.25,1.25,18.67,57.54,1.0,33.33,"11,258","70,648",4.0,1.0,0.0,-1.0,3.0,2018,89.0,3
1283,TENETLIME LIMITED,No,No,No,No,No,LS18 5AZ,4785816,64999,30/09/2020,Active,2021,Secure,2.2,"100,796",2019,Secure,TENET GROUP LIMITED,10,24.31,70,20.58,7.19,0.98,8.32,1,0.94,2.63,20.96,1.0,1.0,3.58,19.15,19.06,29.02,1.54,1.54,5.52,29.59,42.02,32.26,"9,223","37,942",0.0,0.0,0.0,0.0,0.0,2018,81.0,3
1284,JUST RETIREMENT MONEY LIMITED,No,No,No,No,No,RH2 7RP,9415215,66290,31/12/2020,Active,2021,Secure,0.9,"274,081",2019,Stable,JUST GROUP PLC,24,9.37,43,9.37,1.49,0.83,1.0,1,0.83,2.63,11.27,8.14,1.0,3.58,4.27,1.13,1.0,0.93,0.93,0.0,15.86,18.85,0.0,0,0,7.0,0.0,0.0,1.0,8.0,2018,89.0,3
1285,KINOVO PLC,No,No,No,No,No,EC4Y 0DT,9095860,43220,31/03/2021,Active,2021,Secure,0.9,"638,370",2020,Secure,KINOVO PLC,45,25.82,90,19.99,10.88,5.45,22.45,1,5.69,8.34,3.67,5.03,23.35,24.99,9.08,40.2,50.1,1.32,1.15,3.43,42.13,72.79,44.31,"10,444","40,450",1.0,0.0,0.0,-2.0,-3.0,2018,86.0,3
1286,RAYMOND JAMES INVESTMENT SERVICES LIMITED,No,No,No,No,No,EC2Y 9LY,3779657,66120,30/09/2020,Active,2021,Secure,0.9,"1,262,000",2019,Secure,RAYMOND JAMES FINANCIAL INC,34,17.84,53,17.84,9.32,5.95,40.7,1,5.91,8.66,3.0,16.26,1.0,3.58,4.27,1.13,1.0,1.89,1.89,0.0,52.27,1.0,0.0,"26,071","146,146",6.0,0.0,-1.0,0.0,5.0,2018,99.0,3
1287,THE WORKSHOP VENTURES LTD,No,No,No,No,No,EC4A 1EN,9766691,64209,31/12/2020,Active,2021,Secure,0.9,"560,369",2019,Secure,GNOMON CAPITAL LIMITED,44,-102.3,67,-43.89,-10.3,-6.77,100.0,1,-6.63,0.5,6.48,5.7,-45.4,3.58,5.43,67.25,3.07,0.96,0.96,0.75,10.06,11.19,602.32,"-9,622","9,406",5.0,0.0,4.0,0.0,9.0,2018,89.0,3
1288,BT PENSION SCHEME MANAGEMENT LIMITED,No,No,No,No,No,EC3N 2LB,5154287,65300,30/06/2021,Active,2021,Secure,0.9,"2,282,000",2020,Secure,BT PENSION SCHEME TRUSTEES LIMITED,29,-5.78,29,-5.27,-3.27,-3.3,1.0,1,-3.38,-2.39,1.6,7.89,1.0,3.58,4.27,1.13,15.28,2.31,2.31,10.22,56.56,1.0,14.19,"-7,468","129,159",0.0,0.0,8.0,0.0,8.0,2018,97.0,3
1289,FAIRSTONE FINANCIAL MANAGEMENT LIMITED,No,No,No,No,No,NE35 9PF,5574120,64999,31/12/2020,Active,2021,Secure,0.9,"1,398,000",2019,Secure,APLOMADO BIDCO LIMITED,32,39.02,53,39.02,22.06,13.29,24.93,2,13.29,13.29,2.94,1.0,1.0,3.58,60.32,6.05,24.5,2.3,2.3,0.0,56.54,1.0,34.66,"100,809",0,0.0,0.0,0.0,0.0,0.0,2018,89.0,3
1290,CMAC GROUP LIMITED,No,No,No,No,No,BB5 0RE,9146214,64209,31/12/2020,Active,2021,Secure,0.9,"280,920",2019,Secure,CMAC GROUP LIMITED,15,45.31,33,45.3,27.92,12.76,25.46,2,12.58,13.51,3.55,20.29,1.0,3.58,6.73,54.2,25.75,2.33,2.33,0.0,61.61,1.0,0.04,"37,688","83,171",5.0,0.0,-1.0,0.0,3.0,2018,92.0,3
1291,ECOMMPAY LIMITED,No,No,No,No,No,W1J 8AJ,8580802,64999,30/06/2020,Active,2021,Secure,0.9,"550,961",2019,Stable,MR ALEKSEJS SJARKI,22,72.19,83,71.52,14.72,3.99,12.48,1,3.72,3.79,17.94,342.47,1.0,3.58,9.88,36.95,38.96,1.25,1.25,106.95,20.39,25.61,172.6,"26,043","36,077",1.0,0.0,0.0,0.0,0.0,2018,95.0,3
1292,VALUE RETAIL MANAGEMENT (BICESTER VILLAGE) LIMITED,No,No,No,No,No,OX26 6WD,2884096,68320,31/12/2020,Active,2021,Secure,0.9,"221,766",2019,Caution,VALUE RETAIL PLC,10,37.67,51,37.67,9.37,1.85,1.92,1,1.92,2.63,20.38,1.0,22.35,3.58,412.45,0.88,8.68,1.33,1.33,0.0,24.87,33.11,48.74,"7,826","20,774",0.0,0.0,0.0,0.0,0.0,2018,99.0,3
1293,MARKSANS PHARMA U.K. LIMITED,No,No,No,No,No,WA8 0RP,5467597,21100,31/03/2021,Active,2021,Secure,0.9,"1,915,000",2020,Secure,MARKSANS PHARMA LIMITED,32,29.03,45,28.8,13.0,9.4,20.37,2,9.97,11.89,3.06,4.56,17.45,3.55,6.19,58.98,24.72,1.27,0.56,124.48,44.8,81.17,88.6,"26,919","92,738",0.0,0.0,0.0,0.0,0.0,2018,99.0,3
1294,DISCOVER FINANCIAL SERVICES (UK) LIMITED,No,No,No,No,No,SW1Y 4LB,6455516,64205,31/12/2020,Active,2021,Secure,0.9,"661,393",2019,Secure,DISCOVER FINANCIAL SERVICES,14,41.38,42,28.61,20.87,7.24,1.0,1,7.41,8.84,3.95,11.83,1.0,3.58,4.27,1.13,1.0,2.8,2.8,2.24,50.43,1.0,45.26,"20,431","49,371",0.0,0.0,0.0,0.0,0.0,2018,99.0,3
1295,TP GROUP PLC,No,No,No,No,No,BA9 9FE,3152034,28132,31/12/2020,Active,2021,Caution,11.2,"75,066",2019,Secure,TP GROUP PLC,67,-0.3,43,-0.25,-0.18,-0.28,28.77,1,-0.08,4.41,0.89,1.57,-0.38,14.31,4.43,82.44,55.01,2.17,2.0,4.97,60.8,1.0,22.15,-570,"189,093",6.0,0.0,0.0,-1.0,1.0,2018,30.0,1
1296,ENDURANCE BUSINESS SERVICES LIMITED,No,No,No,No,No,EC3R 7BB,6279652,65110,31/12/2020,Active,2021,Secure,0.9,"225,939",2019,Caution,SOMPO HOLDINGS INC.,17,-240.34,43,-240.34,-70.5,-28.29,1.0,1,-28.32,2.63,8.5,1.0,1.0,3.58,4.27,1.13,1.0,1.42,1.42,0.0,29.33,41.51,18.9,0,0,0.0,0.0,0.0,0.0,0.0,2018,93.0,3
1297,WASDELL HOLDINGS LIMITED,No,No,No,No,No,SN5 8YW,5889635,32990,30/04/2021,Active,2021,Secure,0.9,"2,109,000",2020,Caution,MR MARTIN JOHN TEDHAM,31,54.94,47,42.53,32.7,22.0,45.06,2,22.18,25.77,1.93,6.5,149.15,17.89,5.77,63.27,24.1,3.34,2.98,3.43,59.52,1.0,29.9,"17,554","31,950",10.0,0.0,-2.0,-1.0,4.0,2018,95.0,3
1298,CURZON 3003 LIMITED,No,No,No,No,No,E14 9NN,8672465,70100,30/06/2020,Active,2021,Secure,0.9,"200,243",2019,Caution,CURZON 3003 LIMITED,20,25.07,49,14.99,5.03,2.03,11.34,1,2.02,2.49,7.37,45.38,8.27,3.58,9.06,40.3,74.83,1.42,1.42,1.49,20.07,25.11,83.66,"9,777","39,005",1.0,0.0,0.0,0.0,1.0,2018,92.0,3
1299,B & C E FINANCIAL SERVICES LIMITED,No,No,No,No,No,RH10 9QP,2207140,64999,31/03/2021,Active,2021,Secure,0.9,"2,403,000",2020,Secure,B&CE HOLDINGS LIMITED,42,-28.89,35,-28.89,-20.01,-23.69,1.0,1,-23.77,2.63,1.22,1.0,1.0,3.58,21.34,17.1,1.0,3.25,3.25,0.0,69.27,1.0,22.5,0,0,0.0,0.0,0.0,0.0,0.0,2018,93.0,3
1300,CBRE INVESTMENT MANAGEMENT INDIRECT LIMITED,No,No,No,No,No,EC4M 9AF,2076511,64999,31/12/2020,Active,2021,Secure,0.9,"6,682,000",2019,Secure,"CBRE GROUP, INC.",67,36.43,55,36.43,16.72,20.49,1.0,1,35.07,35.26,1.78,141.69,1.0,3.58,14.56,25.07,1.0,1.84,1.84,0.0,45.89,84.81,72.09,0,0,0.0,0.0,0.0,0.0,0.0,2018,92.0,3
1301,MAKOR PARTNERS LIMITED,No,No,No,No,No,SW1Y 4AJ,7275915,66300,31/12/2020,Active,2021,Secure,0.9,"1,202,000",2019,Secure,MR MICHAEL ELIE HALIMI,17,34.95,48,34.68,16.45,5.91,54.82,1,5.9,6.46,5.87,48.32,870.95,3.58,10.75,33.96,18.06,1.79,1.79,127.44,47.08,88.96,12.16,"37,568","107,485",2.0,0.0,0.0,0.0,1.0,2018,92.0,3
1302,DEVINE HOLDINGS LIMITED,No,No,No,No,No,SM3 8NE,3954399,42990,31/07/2021,Active,2021,Secure,0.9,"2,449,000",2020,Secure,MR JAMES TIMOTHY DEVINE,57,22.13,59,17.9,12.99,12.57,20.84,3,13.33,14.14,1.42,11.23,14.71,2.69,76.84,4.75,18.06,3.31,1.91,4.22,58.68,1.0,33.23,"144,366",0,4.0,0.0,-1.0,3.0,4.0,2018,99.0,3
1303,KURA (CS) LIMITED,No,No,No,No,No,G4 0JY,SC476104,70100,30/06/2020,Active,2021,Secure,0.9,"1,265,000",2019,Secure,KURA (CS) LIMITED,17,33.34,49,27.71,12.56,4.22,24.39,1,4.22,5.62,6.57,14.86,1.0,3.58,6.54,55.85,3.22,1.46,1.46,4.93,37.68,60.46,20.29,"1,022","3,067",2.0,0.0,-1.0,0.0,0.0,2018,99.0,3
1304,DOTDIGITAL GROUP PLC,No,No,No,No,No,SE1 9BG,6289659,62090,30/06/2021,Active,2021,Secure,0.9,"3,521,000",2020,Secure,DOTDIGITAL GROUP PLC,55,25.29,49,24.17,19.07,21.45,78.94,1,21.43,27.15,1.13,2.1,1.0,3.58,5.21,70.08,52.38,2.74,2.74,21.54,75.41,1.0,4.66,"37,339","147,660",15.0,0.0,0.0,1.0,-6.0,2018,99.0,3
1305,MBA HOLDINGS LIMITED,No,No,No,No,No,N17 0HW,3085122,64202,31/07/2020,Active,2021,Secure,0.9,"820,788",2019,Secure,LSA HOLDINGS LIMITED,30,31.09,49,24.34,12.71,7.66,32.86,1,8.23,11.36,3.18,7.24,49.35,127.95,5.87,62.23,55.23,1.61,1.59,3.61,40.88,69.14,35.97,"12,435","40,001",4.0,0.0,-1.0,-1.0,1.0,2018,99.0,3
1306,BEST PRACTICE IFA GROUP LIMITED,No,No,No,No,No,RH12 4QP,4490633,64999,31/12/2020,Active,2021,Secure,0.9,"197,993",2019,Caution,SCHRODERS PLC,13,60.38,54,60.07,18.92,4.56,11.54,2,4.56,4.56,13.18,761.05,1.0,3.58,11.09,32.92,48.1,1.45,1.45,199.42,31.34,45.64,12.77,"85,013","140,805",0.0,0.0,0.0,0.0,0.0,2018,99.0,3
1307,BARING INTERNATIONAL INVESTMENT LIMITED,No,No,No,No,No,EC4M 7BF,1426546,64999,31/12/2020,Active,2021,Secure,0.9,"883,796",2019,Secure,IWG PLC,12,10.45,26,10.45,5.97,2.81,1.0,1,-0.79,2.63,3.72,1.0,1.0,3.58,38.14,9.57,1.0,2.34,2.34,0.0,57.18,1.0,70.11,0,0,0.0,0.0,0.0,0.0,0.0,2018,97.0,3
1308,CAPITAL PROFESSIONAL LIMITED,No,No,No,No,No,RG1 8LS,7584487,70221,31/12/2020,Active,2021,Secure,0.9,"3,460,000",2019,Secure,OAKTREE CAPITAL MANAGEMENT LP,67,7.59,37,7.56,5.94,10.73,98.23,1,-3.74,-1.97,0.7,0.73,170.96,3.58,16.22,22.5,13.43,1.12,1.12,236.44,78.22,1.0,12.36,"14,536","191,455",0.0,0.0,0.0,0.0,0.0,2018,88.0,3
1309,D YOUNG & CO LLP,No,No,No,No,No,EC1N 2DY,OC352154,69102,31/03/2021,Active,2021,Secure,0.9,"2,649,000",2020,Secure,D YOUNG & CO LLP,16,1.0,54,15.42,0.21,100.0,57.16,2,28.57,28.8,4.21,237.08,1.0,3.58,4.68,77.96,14.97,4.83,4.83,0.0,0.0,1.0,0.0,0,0,16.0,0.0,0.0,-14.0,2.0,2018,93.0,3
